id,Sector,Código de Comité,Nombre del Comité ,Codigo,ICS,Edición,Precio Letras,Precio,Nombre,correspondencia,Organismo de la norma de correspondencia,Objeto y campo de aplicación,Fecha de aprobación,Normas de referencia,Normas que la referencian,Número de paginas,historico ,Marco regulatorio,Tipo de Norma,Normas Populares,Estado,Sustituida por
,Alimentos,CTN 02,Alimentos,INTE 02-05-03:1992,67.040,1, B,6270,Productos elaborados a partir de Frutas y Hortalizas. Mermelada de cítricos.,CODEX 80:1981,CODEX ,"La presente norma tiene por objeto definir las características y establecer los requisitos que debe presentar la mermelada de cítricos envasada en el momento de su expedición o venta. 1.1 Esta norma se aplica al producto preparado con frutos cítricos y que se conoce generalmente con el nombre de ''mermelada'', incluye disposiciones generales y específicas. 1.2 No se aplica a: 1.2.1 los productos preparados con normas que no sean cítricas. 1.2.2 los productos hechos con .jengibre, piña o higos (con o sin la adición de frutos cítricos), que se describe habitualmente como mermelada de tal fruta (o frutas), pero que satisfacen los requisitos para  compotas y que están regulados por la Norma Internacional Recomen-dada del Codex Alimentarios FAO/OMS para compotas (conservas de frutas) y Jaleas (CODEX STAN 79-1931). 1.2.3 los productos preparados con endulcolorantes no carbohidratos y denominados ''para diabéticos'' o ''dietéticos'' ni a los productos de bajo contenido de azúcar que no se ajustan al requisito mínimo de esta norma y que en ciertos países se llaman comúnmente mermelada. 1.2.4 los productos claramente destinados y marcados para fines de fabricación.",1992,NCR 100:1989,,10,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-02-05:1992,67.040,1, B,6270,Productos elaborados a partir de Frutas y Hortalizas. Jugo de toronja conservado por medios físicos exclusivamente.,"ICAITI 34 010:1991, CODEX STAN 46:1981","ICAITI, CODEX","La presente norma tiene por objeto establecer las características y especificaciones que debe cumplir el jugo de toronja envasado y conservado mediante un tratamiento adecuado, en el momento de su expedición o venta.",1992,N.A,,9,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-02-04:1992,67.040,1, B,6270,Productos elaborados a partir de Frutas y Hortalizas. Jugo de tomate conservado por medios físicos exclusivamente.,"ICAITI 34 004:1990, CODEX STAN 49:1981","ICAITI, CODEX","La presente norma tiene por objeto establecer las características y especificaciones que debe cumplir el jugo de tomate envasado y conservado mediante un tratamiento adecuado, en el momento de su expedición o venta.",1992,N.A,,8,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-02-01:1992,67.040,1, A,4950,Productos elaborados a partir de Frutas y Hortalizas. Jugo de manzana conservado por medios físicos exclusivamente.,CODEX STAN 48:1981,CODEX,Esta norma tiene por objeto establecer los procedimientos que deben cumplirse para el jugo de manzana.,1992,N.A,,5,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-05-01:1992,67.040,1, C,9130,Productos elaborados a partir de Frutas y Hortalizas. Jalea y mermelada. ,CODEX STAN 79:1981,CODEX ,"1.1 Esta norma se aplica a una clase de frutas para untar conocida corrientemente con el nombre de mermelada y jaleas que pueden prepararse con una o más frutas. 1.2 Esta norma no se aplica a: a) los productos preparados con edulcolorantes no carbohidratados y que están claramente destinados o etiquetados para uso dietético o para diabéticos, b) los productos con bajo contenido de azúcar, c) los productos fabricados a partir de frutos cítricos, a los que suele denominarse mermelada, que están regulados por la Norma Internacional Recomendada del Codex -ara Mermelada de Cítricos (Codex Stan 80-1981, en tramite norma nacional), ni a d) los productos claramente destinados y registrados para su empleo en fabricación.",1992,N.A,,14,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-01-01:1992,67.040,1, C,9130,Productos elaborados a partir de Frutas y Hortalizas. Coctel o ensalada de frutas tropicales en conserva.,CODEX STAN 99:1981,CODEX,La presente norma tiene como objetivo establecer los requisitos que debe cumplir el cóctel de frutas tropicales tal y como se define en la presente norma. ,1992,N.A,,14,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-01-02:1992,67.040,1, C,9130,Productos elaborados a partir de Frutas y Hortalizas. Coctel o ensalada de frutas en conserva.,CODEX STAN 78:1981,CODEX,La presente norma tiene como objetivo establecer los requisitos que debe cumplir el coctel de frutas tal y como se define en la presente norma.,1992-04-21,N.A,,13,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-02-02:1992,67.040,1, B,6270,Productos elaborados a partir de Frutas frescas y Hortalizas. Jugo de naranja conservado por medios físicos exclusivamente.,"ICAITI 34 008:90, CODEX STAN 45:1998","ICAITI, CODEX","Esta norma tiene por objeto especificar las características del jugo de naranja envasado y conservado mediante un tratamiento adecuado, en el momento de su expedición o venta y se aplica al producto jugo naranja tal y como se define en la presente norma.",1992,N.A,,9,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-12:2011,67.100.01,2, B,6270,Norma para las cremas lácteas.,CODEX STAN 288:1976 Enmienda:2009,CODEX,"La presente Norma se aplica a la crema (nata) y a las cremas (natas) preparadas y a los anteriores productos acidificados, los cuales han sido sometidos o no a pasteurización (pasterización), esterilización, ultra alta temperatura (UAT o UHT ) o ultra pasteurización, para consumo directo o procesamiento adicional, que se ajustan a las definiciones del capítulo 4 de esta Norma.",2011-05-25,"APHA 7.030, AOAC 925.25, AOAC 925.26, AOAC 945.47, AOAC 947.06, AOAC 957.06, AOAC 993.12, AOAC 995.18, AOAC 995.19, AOAC 920.111, CODEX CAC/RCP 1:1969 Rev. 3:1997, CODEX STAN 1:1985 Rev. 1:1991, FIL 50 C:1995, FIL 145:1990, FIL 145:1990, ISO 707",,10,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-07:2011,67.100.01,2, B,6270,Norma general para yogurt.,CODEX STAN 243:2003,CODEX,"La presente norma tiene por objeto establecer la clasificación y definir las características y especificaciones que debe cumplir el yogurt. Se aplica también, al yogurt que forma parte de otros alimentos.
En el presente documento se va a utilizar la palabra “yogurt”, pero también se puede denominar como yogur o yogurt.
",2011-03-16,"Codex Stand 1:1985 Rev. 1:1991, Codex Stan 234:1999, Codex Alimentarius Vol.1A:1995 Sección 5.3, Codex CAC/RCP 1:1969 Rev. 3:1997, AOAC 952.13, AOAC 966.24, AOAC 967.26, AOAC 972.05, AOAC 972.16, AOAC 975.55, AOAC 989.04, AOAC 989.10, AOAC 990.12, AOAC 991.14, AOAC 991.20, AOAC 993.12, AOAC 995.18, AOAC 997.02, APHA 7.020, FIL 145:1990, FIL 145:1990, ISO 707",,9,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-03:2010,67.100.01,3, C,9130,Norma general para quesos.,CODEX STAN 283:1978 ,CODEX,"La presente norma se aplica a todos los productos destinados al consumo directo o a ulterior elaboración que se ajustan a la descripción de queso. Las normas para las distintas variedades de queso, o grupos de variedades de queso, podrán contener disposiciones más específicas que las que figuran en esta norma. En dichos casos se aplicarán tales disposiciones más específicas.",2010-08-03,"APHA 7.020, APHA 7.030, AOAC 926.08, AOAC 952.13, AOAC 972.05, AOAC 983.14/FIL 88ª/ISO 5943, AOAC 993.12, Codex CAC/RCP 1:1969 Rev. 3:1997, Codex Stan 1:1985 Rev. 1:1991, FIL 4A:1982, FIL 5B:1986, FIL 50 C:1995, FIL 145:1990, FIL 145:1990, ISO 707, ISO 1735, ISO 5534: 1985, ISO 5541-1",,13,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-04:2010,67.100.30,3, C,9130,Norma general para leche en polvo.,CODEX STAN 207:1999,CODEX,"La presente Norma se aplica a las leches en polvo destinadas al consumo directo o a elaboración ulterior, que se ajusta a la definición del capítulo 3 de esta norma.",2010-08-03,"AOAC 920.115, AOAC 927.03, AOAC 932.06, AOAC 945.48, AOAC 991.20, AOAC 993.12, Codex CAC/RCP 1, Codex Stan 1, FIL 9C/ISO 1737/AOAC 932.06, FIL 20 B/ISO 8968/AOAC 991.20, FIL 50 C, ISO 707, ISO 1736, ISO 4832, ISO 4833, ISO 5537, ISO 5739, ISO 6090, ISO 6579, ISO 7954, ISO 8156

",,11,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-07-02:2007,13.060.20,1, B,6270,Norma general para la elaboración del hielo. Hielo para consumo humano. Especificaciones. ,NOM-042-SSA1:1993,NOM,"La presente norma establece las especificaciones que debe cumplir el hielo empacado y/o comercializado en contenedores de diferentes composiciones, formas y capacidades destinado para consumo humano como producto final, como subproducto en la elaboración de otros alimentos o como parte de un proceso de conservación en donde el hielo está en contacto con otro alimento.",2007-10-31,"INTE 02-01-01:2003, RTCR 100:1997, Nº 32327-S:2005 
",,9,,,Especificaciones,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-07-03:2008,13.060.20,1, B,6270,"Norma general para el agua saborizada, envasada y
comercializada para consumo humano (distinta de las
aguas minerales). Especificaciones.",N.A.,INTECO,"La presente norma establece las especificaciones que debe cumplir el agua saborizada,
envasada y comercializada como producto final en recipientes de diferentes composiciones,
formas y capacidades destinada para consumo humano, distinta de las aguas minerales
naturales1)
nota 1 : las aguas minerales naturales se rigen por los requisitos establecidos en la Norma Codex Stan 108.",,"INTE 02-01-01:2003, INTE 02-07-01:2007, Codex Stan 108, RTCR 100",,10,,,Especificaciones,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-08-02:2009,67.180.10,1, C,9130,Miel (Apis mellifera) para uso industrial. Requisitos.,"CODEX STAN 12 V1981,Rev.2 (2001)",CODEX,"Esta norma específica los requisitos de la miel producida por la abeja Apis mellifera para uso industrial o la utilizada como ingrediente en otros alimentos.
Se excluye de esta norma la miel producida por las abejas pertenecientes a la subfamilia Meliponinae (abejas sin aguijón) y la miel de abeja para consumo directo la cual es objeto de otra norma.
",2009-10-11,N.A,,12,,,Requisitos,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-08-01:2009,67.180.10,1, C,9130,Miel (Apis mellifera) para consumo directo. Requisitos.,"CODEX STAN 12 V1981,Rev. 2 (2001). ",CODEX,"Esta norma tiene como objeto establecer los requisitos para todos los tipos de presentación de la miel elaborados y destinados en última instancia al consumo directo y aplica a todas las mieles producidas por abejas Apis mellifera.
Se excluye de esta norma la miel producida por las abejas pertenecientes a la subfamilia Meliponinae (abejas sin aguijón) y la miel de abeja para uso industrial la cual será objeto de otra norma.
",2009-10-11,N.A,,14,,,Requisitos,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-15:2008,67.100.10,1, C,9130,"Leches saborizadas. Fluidas, en polvo, condensada y evaporada. Especificaciones.",N.A,INTECO,"Esta norma tiene por objeto establecer la clasificación y definir las características que deben reunir las leches saborizadas fluidas, en polvo, condensadas y evaporadas (de elevado contenido de grasa, entera, semidescremada, descremada), que han recibido los tratamientos térmicos correspondientes y que se comercialicen para su consumo.",2008-06-27,"INTE 02-03-02, INTE 02-03-04, INTE 02-03-09, INTE 02-03-11, INTE 02-03-13
",,13,,,Especificaciones,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-02:2010,67.100.10,2, C,9130,Leche de larga duración. Leche ultra alta temperatura. UAT.,N.A,INTECO,Esta norma tiene por objeto establecer la clasificación y definir las características que debe reunir la leche ultra alta temperatura (UAT o UHT por sus siglas en inglés) que se comercialice para su consumo.,2010-11-22,"APHA 8.010, APHA 8.030, AOAC 925.22, AOAC 945.46, AOAC 952.21, AOAC 968.13, AOAC 972.16, AOAC 975.20, AOAC 989.04, AOAC 990.22, AOAC 991.20, Codex Stan 1 Codex Alimentarius, ISO 707, ISO 1211, ISO 2446, ISO 4833, ISO 4832, ISO 6731, ISO 5542, ISO 5764
 
",,11,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-03-05:2011,67.100.40,2, E,14300,Helados y mezclas para helados. Requisitos.,N.A,INTECO,"La presente norma tiene por objeto establecer la clasificación y definir las características y especificaciones que deben cumplir los helados y las mezclas para helados. Se aplica también, al helado que forma parte de otros alimentos.",2011-05-24,"Codex Stan 1, RTCA 67.04.50:2008, AOAC 905.02, AOAC 920.109, AOAC 930.33, AOAC 952.06, AOAC 967.26, AOAC 972.16, AOAC 975.55, AOAC 989.04, AOAC 989.10, AOAC 990.12, AOAC 991.14, AOAC 991.20, AOAC 993.12, AOAC 995.18, 
",,21,,,Requisitos,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-01-04:2015,67.020,2, E,14300,Directrices generales para la aplicación del Sistema de análisis de peligros y puntos críticos de control (HACCP) en la cadena alimentaria.,N.A,INTECO,"Esta Norma establece los requisitos para el desarrollo, la implementación, el mantenimiento y la actualización eficaz del sistema de Análisis de Peligros y Puntos Críticos de Control (HACCP por sus  siglas en inglés) en cualquier organización que integre la cadena alimentaria, para asegurar la inocuidad de los alimentos.",2015-02-26,"INTE 02-01-03, INTE/ISO 9000, INTE/ISO 22000, ISO/IEC Guide 51",,21,INTE 02-01-04:2003,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-01-06:2016,67. 020,1, D,11550,Buenas prácticas de manufactura. Servicios de alimentación.,N.A,INTECO,"Esta norma establece los requisitos generales de buenas prácticas de manufactura de alimentos para el consumo humano y destinado a su utilización en los servicios de alimentación. Estos servicios tienen como finalidad la preparación de comidas inocuas.
El campo de aplicación de esta norma incluye, todos los servicios de alimentación como por ejemplo, comedores infantiles, escolares, e institucionales públicos y privados, hospitales, centro de atención para adulto mayor, cárceles, hoteles, restaurantes, bares, cafeterías, sodas, servicios de catering , servicios minoristas de expendio de comidas (estaciones de comidas preparadas), entre otros.
Además esta  norma no  incluye requisitos de higiene en la zona de producción primaria, la industria de alimentos  y bebidas procesadas, industria de los alimentos  no procesados  y semi-procesados, los cuales se regirán por medio de otras disposiciones sanitarias.  ",2016-11-09,"INTE/ISO 9001, INTE 02-01-03, INTE 02-01-04 
",,20,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-06-01:2008,67.160.10,1, B,6270,Cerveza y productos de cervecería. Norma general de cerveza. Vocabulario.,N.A,INTECO,La presente norma tiene por objeto establecer los términos relacionados con la cerveza y los productos de cervecería.,2008-03-26,N.A,,7,,,,,Activa,
,Alimentos,CTN 02,Alimentos,INTE 02-06-02:2009,67.160.10,2, C,9130,Cerveza y productos de cervecería. Norma general de cerveza. Especificaciones.,N.A,INTECO,"Esta norma establece los requisitos mínimos de calidad que debe cumplir la bebida alcohólica fermentada denominada cerveza preenvasada, incluyendo la cerveza sin alcohol.",2009-08-10,"INTE 02-01-03:2003, AOAC 986.15, EPA 200.15, NTC 4146:1997, Método EBC Beer 9.2.1, Método ASBC Beer-4-G, Método EBC  Beer 
9.3, Método EBC Beer 9.33, Método EBC Beer 9.35, Método EBC Beer 9.4, Método EBC Beer 9.6, Método EBC Beer 9.8, Método EBC Beer 9.28.1, Método ASBC Beer-13, Método EBC Beer 9.13.1, Método EBC Beer 9.13.2, Método EBC Beer 9.13.3, Método EBC Beer 9.14.1, Método EBC Beer 9.14.2, Método EBC Beer 9.14.3, Método ASBC Beer-19, Método EBC Beer 9.20, Método EBC Beer 9.44, Método MEBAK 4.9, Método EBC Beer 9.45, Método ASBC Beer-33, Método ASBC Microbiological Control-4, Método ASBC Microbiological Control-5, Método ASBC Beer 18, Método ASBC Beer-40, Método ASBC Malt-13",,15,,,Especificaciones,,Activa,
